id;nombre;direccion;telefono;horario;SQL
223;Twitterbeat;7 Sugar Circle;4851803841;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (223, 'Twitterbeat', '7 Sugar Circle', '4851803841', '09:00 - 17:00');"
224;Topicshots;287 Old Gate Avenue;1481294107;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (224, 'Topicshots', '287 Old Gate Avenue', '1481294107', '10:00 - 18:00');"
225;Miboo;3953 Jackson Road;6784556555;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (225, 'Miboo', '3953 Jackson Road', '6784556555', '08:00 - 16:00');"
226;Janyx;9775 Morningstar Court;6009795202;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (226, 'Janyx', '9775 Morningstar Court', '6009795202', '10:00 - 18:00');"
227;Katz;2590 Corben Circle;9237044436;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (227, 'Katz', '2590 Corben Circle', '9237044436', '08:00 - 16:00');"
228;Voolith;84218 Farmco Parkway;6164601810;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (228, 'Voolith', '84218 Farmco Parkway', '6164601810', '13:00 - 21:00');"
229;Vidoo;1 Lake View Parkway;4937675788;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (229, 'Vidoo', '1 Lake View Parkway', '4937675788', '07:00 - 15:00');"
230;Thoughtstorm;866 Rigney Drive;1579530084;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (230, 'Thoughtstorm', '866 Rigney Drive', '1579530084', '11:00 - 19:00');"
231;Blogtag;25 Transport Parkway;3144756635;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (231, 'Blogtag', '25 Transport Parkway', '3144756635', '10:00 - 18:00');"
232;Bubblebox;52 Bluejay Drive;1662900442;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (232, 'Bubblebox', '52 Bluejay Drive', '1662900442', '08:00 - 16:00');"
233;Eazzy;3 Tony Alley;6715612902;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (233, 'Eazzy', '3 Tony Alley', '6715612902', '07:00 - 15:00');"
234;Zooxo;04549 Bellgrove Road;5277714588;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (234, 'Zooxo', '04549 Bellgrove Road', '5277714588', '09:00 - 17:00');"
235;Yadel;043 Leroy Place;8799230524;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (235, 'Yadel', '043 Leroy Place', '8799230524', '13:00 - 21:00');"
236;Oyoyo;8 Dayton Pass;7589707188;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (236, 'Oyoyo', '8 Dayton Pass', '7589707188', '08:00 - 16:00');"
237;Rhynyx;9 Ronald Regan Terrace;5249888863;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (237, 'Rhynyx', '9 Ronald Regan Terrace', '5249888863', '12:00 - 20:00');"
238;Feednation;6650 Dahle Street;4714710492;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (238, 'Feednation', '6650 Dahle Street', '4714710492', '07:00 - 15:00');"
239;Oba;578 Raven Way;4636325465;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (239, 'Oba', '578 Raven Way', '4636325465', '07:00 - 15:00');"
240;Jabbertype;3404 Lerdahl Terrace;6973131218;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (240, 'Jabbertype', '3404 Lerdahl Terrace', '6973131218', '08:00 - 16:00');"
241;Meeveo;6316 Old Gate Parkway;4586778470;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (241, 'Meeveo', '6316 Old Gate Parkway', '4586778470', '07:00 - 15:00');"
242;Mycat;96 Prentice Avenue;4053136327;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (242, 'Mycat', '96 Prentice Avenue', '4053136327', '11:00 - 19:00');"
243;Realpoint;9472 Elgar Park;3766945893;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (243, 'Realpoint', '9472 Elgar Park', '3766945893', '11:00 - 19:00');"
244;Quinu;98 School Street;5274030215;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (244, 'Quinu', '98 School Street', '5274030215', '08:00 - 16:00');"
245;Brainbox;071 Utah Lane;2121648154;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (245, 'Brainbox', '071 Utah Lane', '2121648154', '12:00 - 20:00');"
246;Zooxo;404 Northfield Center;5728816824;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (246, 'Zooxo', '404 Northfield Center', '5728816824', '08:00 - 16:00');"
247;Browseblab;334 Glendale Crossing;3277523278;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (247, 'Browseblab', '334 Glendale Crossing', '3277523278', '12:00 - 20:00');"
248;Livefish;42378 Canary Park;6419838808;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (248, 'Livefish', '42378 Canary Park', '6419838808', '10:00 - 18:00');"
249;Skipstorm;9 Bluestem Drive;9466702401;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (249, 'Skipstorm', '9 Bluestem Drive', '9466702401', '06:00 - 14:00');"
250;Camido;497 Crest Line Place;4127031780;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (250, 'Camido', '497 Crest Line Place', '4127031780', '13:00 - 21:00');"
251;Skiptube;53885 West Circle;4477047667;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (251, 'Skiptube', '53885 West Circle', '4477047667', '07:00 - 15:00');"
252;Skilith;700 Trailsway Point;6601734362;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (252, 'Skilith', '700 Trailsway Point', '6601734362', '09:00 - 17:00');"
253;Gabcube;245 Mallard Circle;8858129548;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (253, 'Gabcube', '245 Mallard Circle', '8858129548', '08:00 - 16:00');"
254;Riffpath;76 Kings Alley;3027283080;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (254, 'Riffpath', '76 Kings Alley', '3027283080', '11:00 - 19:00');"
255;DabZ;2453 Annamark Hill;1462305516;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (255, 'DabZ', '2453 Annamark Hill', '1462305516', '11:00 - 19:00');"
256;Quimm;8387 Anthes Plaza;6158837670;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (256, 'Quimm', '8387 Anthes Plaza', '6158837670', '06:00 - 14:00');"
257;Trilith;0517 Spohn Hill;5264287038;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (257, 'Trilith', '0517 Spohn Hill', '5264287038', '08:00 - 16:00');"
258;Meetz;81 Michigan Hill;5419480317;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (258, 'Meetz', '81 Michigan Hill', '5419480317', '08:00 - 16:00');"
259;Aibox;00 Parkside Street;1049301288;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (259, 'Aibox', '00 Parkside Street', '1049301288', '10:00 - 18:00');"
260;Voomm;80084 Dottie Hill;5932448646;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (260, 'Voomm', '80084 Dottie Hill', '5932448646', '09:00 - 17:00');"
261;Gabcube;5 Randy Point;6622559333;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (261, 'Gabcube', '5 Randy Point', '6622559333', '11:00 - 19:00');"
262;Tagtune;7344 8th Junction;8194332261;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (262, 'Tagtune', '7344 8th Junction', '8194332261', '11:00 - 19:00');"
263;Edgeify;7 Sauthoff Center;5169720022;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (263, 'Edgeify', '7 Sauthoff Center', '5169720022', '07:00 - 15:00');"
264;Livepath;73192 Aberg Circle;1489702737;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (264, 'Livepath', '73192 Aberg Circle', '1489702737', '10:00 - 18:00');"
265;Edgeify;74 Grover Trail;9528665537;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (265, 'Edgeify', '74 Grover Trail', '9528665537', '12:00 - 20:00');"
266;Flipopia;02001 Eastlawn Crossing;2963052140;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (266, 'Flipopia', '02001 Eastlawn Crossing', '2963052140', '13:00 - 21:00');"
267;Yodoo;45 Schurz Trail;2312789426;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (267, 'Yodoo', '45 Schurz Trail', '2312789426', '09:00 - 17:00');"
268;Abatz;84851 Bashford Point;1148894082;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (268, 'Abatz', '84851 Bashford Point', '1148894082', '11:00 - 19:00');"
269;Yakitri;08517 Mockingbird Plaza;8577270992;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (269, 'Yakitri', '08517 Mockingbird Plaza', '8577270992', '13:00 - 21:00');"
270;Kwilith;7424 Hoffman Crossing;6879549878;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (270, 'Kwilith', '7424 Hoffman Crossing', '6879549878', '06:00 - 14:00');"
271;Buzzster;401 Sauthoff Parkway;7444349123;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (271, 'Buzzster', '401 Sauthoff Parkway', '7444349123', '08:00 - 16:00');"
272;Janyx;82827 Evergreen Terrace;4186661482;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (272, 'Janyx', '82827 Evergreen Terrace', '4186661482', '08:00 - 16:00');"
273;Cogidoo;62633 Golden Leaf Place;6537014731;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (273, 'Cogidoo', '62633 Golden Leaf Place', '6537014731', '07:00 - 15:00');"
274;Tagpad;4 Butterfield Park;7155441619;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (274, 'Tagpad', '4 Butterfield Park', '7155441619', '08:00 - 16:00');"
275;Skiba;9 Tennessee Road;2144606478;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (275, 'Skiba', '9 Tennessee Road', '2144606478', '13:00 - 21:00');"
276;Thoughtstorm;89081 Cascade Pass;1317552307;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (276, 'Thoughtstorm', '89081 Cascade Pass', '1317552307', '06:00 - 14:00');"
277;Mycat;18492 Cordelia Junction;7034891829;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (277, 'Mycat', '18492 Cordelia Junction', '7034891829', '11:00 - 19:00');"
278;Dabfeed;485 Kinsman Hill;6885690534;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (278, 'Dabfeed', '485 Kinsman Hill', '6885690534', '10:00 - 18:00');"
279;Twitterbeat;6096 Porter Junction;2583607775;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (279, 'Twitterbeat', '6096 Porter Junction', '2583607775', '09:00 - 17:00');"
280;Shufflester;9006 Rieder Drive;2624748032;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (280, 'Shufflester', '9006 Rieder Drive', '2624748032', '06:00 - 14:00');"
281;Tagtune;4 Dexter Court;7457720184;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (281, 'Tagtune', '4 Dexter Court', '7457720184', '11:00 - 19:00');"
282;Quimba;4306 Talisman Terrace;2121503261;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (282, 'Quimba', '4306 Talisman Terrace', '2121503261', '06:00 - 14:00');"
283;Aimbo;9 Pierstorff Way;1184437235;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (283, 'Aimbo', '9 Pierstorff Way', '1184437235', '08:00 - 16:00');"
284;Linktype;9 Golf Terrace;6539223233;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (284, 'Linktype', '9 Golf Terrace', '6539223233', '08:00 - 16:00');"
285;Trilia;7 Anthes Terrace;5704667719;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (285, 'Trilia', '7 Anthes Terrace', '5704667719', '12:00 - 20:00');"
286;Fivechat;3723 Harbort Street;4327625999;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (286, 'Fivechat', '3723 Harbort Street', '4327625999', '06:00 - 14:00');"
287;Kwinu;9510 Springs Way;4285931231;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (287, 'Kwinu', '9510 Springs Way', '4285931231', '07:00 - 15:00');"
288;Brainsphere;325 Norway Maple Place;6465904013;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (288, 'Brainsphere', '325 Norway Maple Place', '6465904013', '06:00 - 14:00');"
289;Jayo;167 Thompson Pass;4804690189;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (289, 'Jayo', '167 Thompson Pass', '4804690189', '12:00 - 20:00');"
290;Skyvu;999 Holmberg Pass;9124885160;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (290, 'Skyvu', '999 Holmberg Pass', '9124885160', '12:00 - 20:00');"
291;Skyba;9257 Toban Pass;8457162271;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (291, 'Skyba', '9257 Toban Pass', '8457162271', '09:00 - 17:00');"
292;Eimbee;3625 Sloan Park;6493288860;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (292, 'Eimbee', '3625 Sloan Park', '6493288860', '09:00 - 17:00');"
293;Voolia;02 Lighthouse Bay Plaza;9013648636;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (293, 'Voolia', '02 Lighthouse Bay Plaza', '9013648636', '07:00 - 15:00');"
294;Meetz;94 Duke Circle;8033187644;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (294, 'Meetz', '94 Duke Circle', '8033187644', '07:00 - 15:00');"
295;Skipfire;3924 Rutledge Avenue;1911426121;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (295, 'Skipfire', '3924 Rutledge Avenue', '1911426121', '11:00 - 19:00');"
296;Skinte;9712 Troy Pass;4654548430;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (296, 'Skinte', '9712 Troy Pass', '4654548430', '08:00 - 16:00');"
297;Babbleblab;8827 Rusk Trail;6365155945;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (297, 'Babbleblab', '8827 Rusk Trail', '6365155945', '06:00 - 14:00');"
298;Feedmix;45 Tennessee Way;6669739837;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (298, 'Feedmix', '45 Tennessee Way', '6669739837', '09:00 - 17:00');"
299;Thoughtstorm;37 Valley Edge Avenue;3934293823;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (299, 'Thoughtstorm', '37 Valley Edge Avenue', '3934293823', '09:00 - 17:00');"
300;Gabcube;40277 Service Plaza;6573570423;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (300, 'Gabcube', '40277 Service Plaza', '6573570423', '12:00 - 20:00');"
301;Voonte;0 Starling Avenue;7755765971;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (301, 'Voonte', '0 Starling Avenue', '7755765971', '10:00 - 18:00');"
302;Browsedrive;9 Commercial Plaza;2296008808;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (302, 'Browsedrive', '9 Commercial Plaza', '2296008808', '11:00 - 19:00');"
303;Abata;8812 Raven Parkway;1249393223;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (303, 'Abata', '8812 Raven Parkway', '1249393223', '07:00 - 15:00');"
304;Mybuzz;173 Village Green Terrace;9314272809;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (304, 'Mybuzz', '173 Village Green Terrace', '9314272809', '13:00 - 21:00');"
305;Jaxworks;04565 Carey Way;8615789977;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (305, 'Jaxworks', '04565 Carey Way', '8615789977', '13:00 - 21:00');"
306;Zooveo;97 Shoshone Avenue;7117688675;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (306, 'Zooveo', '97 Shoshone Avenue', '7117688675', '10:00 - 18:00');"
307;Jaxnation;31254 Fulton Center;6744053010;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (307, 'Jaxnation', '31254 Fulton Center', '6744053010', '09:00 - 17:00');"
308;Avaveo;79 Meadow Valley Junction;8077757002;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (308, 'Avaveo', '79 Meadow Valley Junction', '8077757002', '13:00 - 21:00');"
309;Oyoba;251 Jenna Circle;3466550838;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (309, 'Oyoba', '251 Jenna Circle', '3466550838', '07:00 - 15:00');"
310;Gigazoom;9828 Meadow Ridge Hill;5254503089;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (310, 'Gigazoom', '9828 Meadow Ridge Hill', '5254503089', '07:00 - 15:00');"
311;Topiczoom;7012 Oxford Pass;1796617268;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (311, 'Topiczoom', '7012 Oxford Pass', '1796617268', '10:00 - 18:00');"
312;Skiba;40 East Place;8812772728;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (312, 'Skiba', '40 East Place', '8812772728', '06:00 - 14:00');"
313;Youspan;1822 Grayhawk Alley;7754163230;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (313, 'Youspan', '1822 Grayhawk Alley', '7754163230', '12:00 - 20:00');"
314;Yabox;758 Porter Terrace;1268204381;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (314, 'Yabox', '758 Porter Terrace', '1268204381', '07:00 - 15:00');"
315;Voonte;5752 Towne Road;6587356239;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (315, 'Voonte', '5752 Towne Road', '6587356239', '08:00 - 16:00');"
316;Kwideo;284 Thompson Pass;2142763132;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (316, 'Kwideo', '284 Thompson Pass', '2142763132', '06:00 - 14:00');"
317;Oozz;78753 John Wall Center;1063537427;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (317, 'Oozz', '78753 John Wall Center', '1063537427', '08:00 - 16:00');"
318;Dabfeed;66915 Shelley Place;5166460732;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (318, 'Dabfeed', '66915 Shelley Place', '5166460732', '09:00 - 17:00');"
319;Zoomzone;91452 Sundown Junction;7725769789;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (319, 'Zoomzone', '91452 Sundown Junction', '7725769789', '12:00 - 20:00');"
320;Livetube;7198 Basil Hill;9627130780;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (320, 'Livetube', '7198 Basil Hill', '9627130780', '07:00 - 15:00');"
321;Tazzy;569 Tomscot Junction;7125848227;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (321, 'Tazzy', '569 Tomscot Junction', '7125848227', '12:00 - 20:00');"
322;Jatri;39435 Caliangt Drive;6834452318;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (322, 'Jatri', '39435 Caliangt Drive', '6834452318', '13:00 - 21:00');"
323;Kimia;567 Southridge Circle;2171140630;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (323, 'Kimia', '567 Southridge Circle', '2171140630', '08:00 - 16:00');"
324;Tagopia;36427 Shasta Plaza;7568826807;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (324, 'Tagopia', '36427 Shasta Plaza', '7568826807', '10:00 - 18:00');"
325;Wikivu;2 Loeprich Trail;1761796202;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (325, 'Wikivu', '2 Loeprich Trail', '1761796202', '06:00 - 14:00');"
326;Livetube;96 Carpenter Pass;1901756530;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (326, 'Livetube', '96 Carpenter Pass', '1901756530', '07:00 - 15:00');"
327;Photospace;61108 Green Hill;8893660453;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (327, 'Photospace', '61108 Green Hill', '8893660453', '08:00 - 16:00');"
328;Skyvu;41304 Pine View Parkway;3059251657;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (328, 'Skyvu', '41304 Pine View Parkway', '3059251657', '10:00 - 18:00');"
329;Ntags;4958 Dapin Alley;4268022349;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (329, 'Ntags', '4958 Dapin Alley', '4268022349', '12:00 - 20:00');"
330;Jetwire;300 Esker Road;2519898253;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (330, 'Jetwire', '300 Esker Road', '2519898253', '11:00 - 19:00');"
331;Skyndu;70276 Hansons Road;6161812468;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (331, 'Skyndu', '70276 Hansons Road', '6161812468', '12:00 - 20:00');"
332;Centimia;51272 Fairview Park;1967575607;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (332, 'Centimia', '51272 Fairview Park', '1967575607', '09:00 - 17:00');"
333;Bluejam;63 Straubel Avenue;4139405805;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (333, 'Bluejam', '63 Straubel Avenue', '4139405805', '06:00 - 14:00');"
334;Buzzbean;99970 Washington Drive;4028451942;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (334, 'Buzzbean', '99970 Washington Drive', '4028451942', '06:00 - 14:00');"
335;Kamba;5970 Carpenter Trail;4214184399;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (335, 'Kamba', '5970 Carpenter Trail', '4214184399', '11:00 - 19:00');"
336;Blognation;1090 Marcy Plaza;9581437711;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (336, 'Blognation', '1090 Marcy Plaza', '9581437711', '10:00 - 18:00');"
337;Talane;3876 Straubel Circle;6027948058;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (337, 'Talane', '3876 Straubel Circle', '6027948058', '13:00 - 21:00');"
338;Meedoo;4 Stuart Lane;2115726466;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (338, 'Meedoo', '4 Stuart Lane', '2115726466', '12:00 - 20:00');"
339;Wordtune;84141 Pine View Center;9227338934;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (339, 'Wordtune', '84141 Pine View Center', '9227338934', '07:00 - 15:00');"
340;Livepath;6 Lakewood Gardens Road;1703218247;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (340, 'Livepath', '6 Lakewood Gardens Road', '1703218247', '13:00 - 21:00');"
341;Dynava;2 Monica Place;2924496685;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (341, 'Dynava', '2 Monica Place', '2924496685', '09:00 - 17:00');"
342;Devpoint;38 Anderson Hill;9211628648;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (342, 'Devpoint', '38 Anderson Hill', '9211628648', '11:00 - 19:00');"
343;Topdrive;6541 Talisman Lane;4888522047;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (343, 'Topdrive', '6541 Talisman Lane', '4888522047', '07:00 - 15:00');"
344;Jetwire;5 Prentice Point;7847035691;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (344, 'Jetwire', '5 Prentice Point', '7847035691', '11:00 - 19:00');"
345;Gigabox;4373 Merry Point;4412597568;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (345, 'Gigabox', '4373 Merry Point', '4412597568', '10:00 - 18:00');"
346;Quatz;07347 Victoria Road;3566490372;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (346, 'Quatz', '07347 Victoria Road', '3566490372', '12:00 - 20:00');"
